id_aeroport;length_ft;le_identificateur;le_seuil_decale_ft;he_identificateur;he_seuil_decale_ft
BUZ;14664;13R;;31L;
BVA;3625;4;;22;
BVA;7972;13;;31;
BVB;8858;8;;26;
BVC;4007;3;;21;
BVE;6890;11;;29;
BVG;3372;6;;24;
BVH;8530;3;;21;
BVI;3937;3;;21;
BVI;5682;14;;32;
BVM;3937;4;;22;
BVO;6200;17;;35;300
BVS;5249;6;;24;
BVU;5000;18;;36;
BVW;3280;7;;25;
BVX;3078;17;;35;272
BVX;6002;7;;25;
BVY;4634;16;239;34;
BVY;5001;9;;27;190
BVZ;3605;16;;34;
BWA;4955;10;;28;
BWB;6234;3;;21;
BWC;4402;8;395;26;395
BWD;4596;13;;31;
BWD;5599;17;;35;
BWE;7546;8;;26;591
BWF;3318;17;;35;
BWF;3438;5;;23;179
BWG;3955;12;;30;349
BWG;6500;3;;21;
BWH;8000;18;;36;
BWI;5000;15L;;33R;
BWI;6000;4;;22;
BWI;9501;15R;;33L;
BWI;10502;10;550;28;500
BWK;4724;4;197;22;197
BWN;12000;3;;21;
BWP;2500;14;;32;
BWQ;4547;3;;21;
BWT;2516;5;;23;50
BWT;5413;9;;27;
BWU;3419;11R;;29L;
BWU;3609;11L;;29R;
BWU;4644;11C;508;29C;196
BWW;5905;9;;27;
BWX;4593;8;;26;
BXA;3799;18;595;36;606
BXB;4280;2;;20;
BXE;5741;7;983;25;
BXG;2516;5;;23;
BXG;3724;17;;35;
BXH;8208;5;;23;
BXK;5500;17;;35;
BXN;5151;6;;24;524
BXO;6561;7;200;25;200
BXR;11107;12;;30;
BXS;5011;8;;26;
BXT;3350;4;195;22;200
BXU;6450;12;;30;
BYA;2500;5;;23;200
BYC;6890;2;;20;
BYF;3838;9;623;27;820
BYG;6143;13;;31;
BYH;11602;18;;36;
BYI;4067;6;800;24;
BYI;4094;2;620;20;300
BYJ;9682;01R;;19L;
BYJ;11319;01L;;19R;
BYK;10827;3;;21;
BYM;6887;7;342;25;164
BYN;6889;16R;;34L;
BYN;9186;16;;34;
BYO;6562;18;;36;
BYP;6365;10;197;28;197
BYQ;3281;4;;22;
BYR;3045;7;;25;
BYS;5800;13;;31;
BYS;9500;4;;22;
BYU;3550;6;157;24;
BZC;4265;7;;25;
BZD;3888;18;;36;
BZE;7100;7;;25;
BZG;8202;8;;26;
BZI;9810;18;;36;
BZK;7874;17;;35;
BZL;5995;17;;35;
BZN;2650;3;;21;
BZN;3197;11;;29;
BZN;9003;12;;30;
BZO;4255;1;;19;200
BZP;3608;18;;36;
BZR;5971;10;450;28;
BZT;2700;11;;29;
BZU;6890;7;;25;
BZV;10827;5;;23;
BZY;7245;15;;33;
BZZ;10007;8;;26;
CAB;8202;1;;19;
CAC;5299;15;;33;
CAD;5000;7;;25;
CAE;8001;5;;23;1000
CAE;8601;11;;29;
CAF;5463;4;;22;
CAG;9196;14;;32;
CAI;10830;05L;;23R;
CAI;13120;05C;;23C;
CAI;13124;05R;;23L;
CAJ;7070;1;;19;
CAK;7597;5;;23;
CAK;7601;1;;19;599
CAL;10003;11;600;29;1400
CAN;11811;1;;19;
CAN;12467;02L;;20R;700
CAN;12467;02R;;20L;
CAO;4100;12;;30;
CAO;6300;2;;20;
CAP;4886;5;176;23;
CAQ;3794;1;;19;
CAR;3017;11;;29;
CAR;4003;1;;19;
CAT;5050;9;;27;
CAU;5906;13;;31;
CAW;5066;7;;25;
CAX;3077;1;;19;423
CAX;6075;7;1503;25;804
CAY;10486;8;;26;
CAZ;4006;17;;35;
CAZ;4984;5;;23;
CBB;8692;4;;22;732
CBB;12460;14;328;32;984
CBD;8914;2;;20;
CBE;5048;5;;23;
CBF;4000;18;;36;600
CBF;4100;14;;32;
CBG;2949;05R;;23L;
CBG;6447;5;712;23;475
CBH;9840;18;;36;
CBH;12245;6;;24;2370
CBJ;4950;11;;29;
CBK;2600;4;;22;
CBK;2660;12;;30;
CBK;5109;17;;35;
CBL;5527;7;265;25;353
CBM;6300;13R;;31L;
CBM;8000;13L;;31R;
CBM;12000;13C;;31C;
CBN;4131;4;;22;
CBO;6234;10;198;28;198
CBQ;8040;3;;21;
CBR;5509;12;;30;214
CBR;10771;17;;35;1968
CBS;6160;6;;24;
CBU;6562;07L;;25R;
CBU;8149;7;;25;
CBV;3340;2;;20;
CBW;4593;1;;19;
CBX;3947;10;;28;
CBX;4501;1;;19;
CCB;3864;6;106;24;158
CCC;9842;8;;26;
CCF;6726;10;328;28;495
CCG;3395;15;;33;176
CCG;3685;12;;30;449
CCH;3937;12;;30;
CCI;4856;14;;32;
CCJ;9383;10;;28;
CCK;7999;15;;33;
CCL;3497;14;;32;
CCM;4882;9;;27;
CCP;6470;02R;;20L;
CCR;2770;01R;;19L;
CCR;2799;14R;;32L;
CCR;4602;14L;900;32R;350
CCR;5001;01L;600;19R;601
CCS;9930;9;;27;
CCS;11483;10;;28;
CCU;7871;01L;;19R;
CCU;11900;01R;;19L;1390
CCV;2674;11;;29;
CCW;3897;4;;22;
CCW;4829;17;;35;
CCX;6070;17;;35;
CCY;2536;4;;22;
CCY;4001;12;;30;
CCZ;5000;11;;29;
CDA;4235;9;;27;
CDB;4235;8;;26;
CDB;10415;14;;32;
CDC;4822;8;;26;
CDC;8653;2;;20;
CDG;8858;08R;;26L;
CDG;8858;09L;;27R;
CDG;13780;09R;;27L;1969
CDG;13829;08L;;26R;1969
CDH;6501;18;;36;
CDI;3937;6;;24;
CDJ;5906;8;;26;
CDL;3880;2;;20;
CDN;2998;14;;32;
CDN;5000;6;;24;
CDP;3600;11;;29;
CDQ;4799;9;;27;
CDR;4401;11;;29;
CDR;6001;2;290;20;500
CDS;4425;4;;22;
CDS;5949;17;;35;
CDU;4804;6;;24;1408
CDV;7500;9;;27;
CDW;3721;10;;28;
CDW;4553;4;371;22;135
CEA;3873;17;150;35;150
CEB;10827;4;;22;
CEC;5002;11;;29;
CEC;5002;17;;35;
CED;3327;17;;35;
CED;5709;11;;29;
CEF;7082;15;;33;
CEF;11597;5;1201;23;
CEG;6702;4;984;22;984
CEI;9843;3;;21;
CEK;10499;9;;27;
CEM;2782;7;;25;
CEN;7546;13;;31;
CEQ;5282;17;393;35;1148
CER;8005;10;;28;
CES;3600;17;;35;
CET;4528;3;591;21;
CEU;4399;7;;25;
CEV;2833;4;593;22;100
CEV;6500;18;;36;
CEW;8005;17;;35;
CEX;3000;8;;26;
CEY;6200;5;;23;
CEZ;7205;3;;21;
CFB;8366;10;;28;
CFC;5331;2;;20;
CFD;4000;15;;33;
CFE;2953;08L;;26R;
CFE;9885;8;;26;476
CFG;7874;2;;20;
CFH;2624;15;;33;
CFH;2952;3;;12;
CFI;3805;4;;22;
CFK;5413;7;;25;
CFN;4908;3;656;21;656
CFO;3609;12;;30;
CFP;4002;14;;32;
CFQ;3945;15;;33;
CFR;3871;5;;23;
CFR;6233;13;984;31;
CFS;2785;10;406;28;
CFS;6824;3;;21;
CFT;4970;7;;25;
CFU;7792;17;1348;35;213
CFV;4000;4;;22;
CFV;5872;17;;35;
CGB;7546;17;;35;
CGC;3543;8;;26;
CGE;4476;16;;34;
CGF;5102;6;;24;
CGH;4708;17L;;35R;
CGH;6365;17R;;35L;
CGI;3996;2;;20;
CGI;6499;10;;28;
CGJ;4698;11;;29;
CGK;11812;07L;;25R;
CGK;12008;07R;;25L;
CGM;3945;7;;25;
CGN;6112;14R;;32L;
CGN;8067;6;;24;
CGN;12516;14L;;32R;
CGO;11155;12;;30;
CGP;9646;5;;23;
CGQ;10500;6;;24;
CGR;8530;6;;24;
CGS;2607;15;416;33;201
CGV;4265;4;;22;
CGY;6890;9;;27;
CGZ;5200;5;;23;
CHA;5000;15;105;33;
CHA;7400;2;;20;
CHC;5587;11;;29;
CHC;10787;2;;20;
CHF;3766;18;;36;
CHH;6496;13;;31;
CHK;2525;2;;20;
CHK;2840;18;;36;
CHK;5100;17;;35;
CHL;4600;16;;34;
CHM;5905;1;;19;
CHN;4800;7;;25;
CHO;6001;3;;21;
CHP;3650;8;;26;
CHQ;10982;11;;29;
CHR;11483;4;;22;
CHS;7004;3;;21;
CHS;9001;15;;33;
CHT;4462;5;;23;
CHU;3401;9;;27;
CHV;2812;16;;34;
CHX;3609;3;;21;
CHZ;3735;17;420;35;
CIA;7242;15;;33;
CIC;3005;13R;;31L;
CIC;6724;13L;;31R;
CID;6200;13;;31;
CID;8601;9;;27;425
CIE;3772;10;;28;
CIG;5600;7;;25;
CIJ;6562;2;;20;
CIK;4000;3;;21;
CIL;3000;10;;28;
CIN;2620;3;;21;
CIN;5500;13;505;31;
CIO;6070;3;;21;
CIP;4823;18;;36;
CIR;3201;2;;20;
CIR;4003;14;;32;
CIT;9186;10;;28;
CIU;5000;9;;27;
CIU;7201;16;;34;
CIW;5900;13;170;31;170
CIX;8266;1;;19;
CIZ;5249;10;;28;
CJA;8201;16;;34;
CJB;8480;5;;23;
CJC;9478;10;;28;
CJH;3200;18;;36;
CJJ;9000;06L;;24R;
CJJ;9000;06R;;24L;
CJL;5741;2;;20;
CJM;6890;6;;24;
CJS;5741;14;;32;
CJS;8858;3;;21;
CJT;5774;9;;27;
CJU;6268;13;;31;1350
CJU;9843;6;;24;
CKA;7946;17;491;35;
CKB;7000;3;;21;
CKC;8180;15;;33;
CKE;3597;10;;28;85
CKG;10499;2;;20;
CKI;4701;13;;31;
CKK;5156;4;;22;150
CKM;5404;18;;36;
CKN;2978;17;;35;
CKN;4300;13;;31;
CKO;4593;6;;24;
CKS;6562;10;;28;
CKT;13076;14;;32;
CKU;8000;09W;;27W;535
CKV;4004;5;402;23;503
CKV;6000;17;;35;
CKX;2500;13;;31;
CKY;10826;6;;24;
CKZ;5905;4;;22;
CLD;4897;6;297;24;
CLE;6017;10;;28;
CLE;7096;06C;;24C;
CLE;8999;06R;;24L;
CLE;9000;06L;;24R;
CLH;3523;8;;26;
CLI;3299;4;;22;
CLI;4600;14;;32;
CLJ;6070;7;;25;
CLK;4300;17;;35;
CLL;5149;4;;22;
CLL;5159;10;;28;
CLL;7000;16;;34;
CLM;3245;13;;31;
CLM;6347;8;;26;1344
CLN;5906;11;;29;
CLO;9842;1;;19;
CLP;3200;18;;36;
CLQ;7546;7;;25;
CLR;3423;8;120;26;229
CLS;5000;16;;34;
CLT;7502;5;;23;
CLT;8676;18L;;36R;
CLT;10000;18C;;36C;
CLT;10000;18R;;36L;
CLU;5000;14;;32;
CLU;6400;5;;23;
CLV;6890;9;;27;
CLW;3300;16;300;34;650
CLX;3937;1;;19;
CLY;7579;18;;36;656
CLZ;4790;9;;27;
CMA;2999;6;;24;
CMA;5686;12;;30;
CMB;10991;4;;22;
CMC;3117;14;;32;
CMD;2805;10;;28;
CMD;4682;16;;34;985
CME;7218;13;;31;
CMF;6628;18;755;36;460
CMG;5446;9;;27;
CMH;8000;10L;;28R;
CMH;10125;10R;;28L;
CMI;3817;14R;;32L;
CMI;5299;18;;36;
CMI;8100;14L;;32R;
CML;3500;13;;31;
CMN;12205;17L;;35R;
CMN;12205;17R;;35L;
CMP;4921;1;;19;
CMQ;3504;1;;19;
CMQ;4301;15;;33;
CMR;5282;1;689;19;
CMU;3330;3;;21;
CMW;9842;7;;25;
CMX;5196;7;;25;
CMX;6501;13;;31;
CMY;4295;1;1375;19;
CMY;4708;11;;29;425
CNA;5520;18;;36;
CNB;5010;5;;23;
CND;11483;18;;36;
CNE;3261;17;;35;
CNE;5399;11;;29;100
CNF;9843;16;;34;
CNG;6152;9;282;27;367
CNG;7949;5;454;23;459
CNH;3100;11;1055;29;
CNJ;3796;6;;24;
CNJ;6562;12;;30;
CNK;3600;17;;35;
CNL;3934;8;;26;
CNM;4615;14L;;32R;616
CNM;5333;8;;26;
CNM;5839;14R;;32L;
CNM;7854;3;;21;
CNO;4858;08L;;26R;
CNO;6023;3;;21;
CNO;7000;08R;;26L;
CNP;3281;18;;36;
CNQ;6890;2;;20;
CNR;3985;9;;27;
CNS;3035;12;;30;
CNS;10489;15;;33;
CNU;4255;18;;36;270
CNV;4396;13;;31;
CNW;6292;17R;;35L;
CNW;8600;17L;;35R;
CNX;10171;18;;36;
CNY;7100;3;;21;
COA;2600;11;;29;
COA;4670;17;595;35;589
COC;5249;3;;21;
COD;8268;4;690;22;400
COE;5400;2;;20;
COE;7400;6;;24;
COF;4000;11;;29;300
COF;9023;2;;20;
COH;3500;4;;22;
COI;3601;11;;29;
COJ;4987;11;;29;
COK;11155;9;;27;
COM;4503;15;;33;
CON;3200;12;;30;
CON;6005;17;640;35;
COO;7874;6;125;24;
COQ;8530;12;;30;
COR;7218;5;840;23;
COR;10499;18;;36;
COS;8269;12;;30;355
COS;11022;17R;;35L;
COT;5005;13;;31;
COU;4401;13;;31;
COU;6501;2;;20;
COX;5300;10;;28;300
COY;3280;8;;26;
COZ;4593;8;;26;
CPC;8202;6;;24;
CPD;2720;14;;32;
CPD;4685;4;;22;
CPE;8202;16;;34;
CPF;2953;8;;26;
CPH;10072;12;2313;30;886
CPH;10827;04R;;22L;
CPH;11811;04L;;22R;1967
CPM;3322;07L;734;25R;680
CPM;3322;07R;734;25L;680
CPO;7218;17;;35;
CPQ;3937;16;;34;
CPR;6484;12;;30;
CPR;7696;17;;35;
CPR;8679;8;;26;
CPR;10164;3;;21;
CPS;2799;5;;23;
CPS;3800;12L;;30R;
CPS;6997;12R;;30L;
CPT;5581;16;;34;
CPT;10502;1;;19;
CPV;5249;15;;33;
CPX;2600;13;;31;
CQA;3412;18;;36;
CQD;10819;14;483;32;478
CQF;5036;6;;24;
CQP;2919;12;;30;
CQS;4905;1;;19;
CRA;8203;9;;27;
CRB;3996;18;;36;
CRC;7218;1;100;19;100
CRD;9219;7;;25;
CRE;5996;5;;23;
CRG;3998;14;;32;
CRG;4004;5;;23;
CRH;2805;10;;28;
CRI;4061;9;;27;
CRK;10499;02L;;20R;
CRK;10499;02R;;20L;
CRL;8366;7;1477;25;
CRM;4429;4;;22;
CRO;3800;13;620;31;525
CRP;6080;17;;35;
CRP;7508;13;;31;
CRQ;5020;6;;24;
CRR;4429;5;;23;
CRS;3200;2;;20;
CRS;4999;14;;32;
CRT;5009;5;;23;
CRU;2625;9;;27;
CRV;6562;17;525;35;
CRW;4751;15;;33;
CRW;6302;5;;23;
CRX;6500;18;;36;
CRZ;9022;15;;33;
CSA;4924;11;;29;
CSB;6562;11;;29;
CSE;4000;11;;29;
CSF;7871;7;653;25;
CSG;3997;13;;31;
CSG;6997;6;;24;
CSI;3609;10;;28;
CSK;4756;15;;33;
CSM;5193;17L;;35R;
CSM;13503;17R;;35L;
CSN;5906;9;;27;
CSQ;4901;16;;34;100
CSS;2953;13;;31;
CSU;3871;8;;26;
CSV;5418;8;;26;
CSX;8530;18;;36;
CSY;4950;06R;;24L;
CSY;8241;6;;24;
CSZ;4265;17;;35;
CTA;7989;8;312;26;279
CTB;5299;5;;23;
CTB;5300;13;;31;
CTC;9186;1;;19;
CTD;4921;1;;19;
CTG;8530;1;;19;190
CTH;5400;11;;29;
CTL;3501;18;;36;
CTL;5000;12;;30;
CTM;7244;10;;28;869
CTN;5338;11;;29;
CTO;10001;14;;32;
CTP;3166;7;;25;
CTQ;2953;11;;29;
CTR;3937;13;;31;
CTS;9840;01L;;19R;
CTS;9840;01R;;19L;
CTT;5741;13;140;31;360
CTU;11811;2;;20;
CTX;3400;6;;24;
CTY;5001;13;;31;
CTY;5005;4;;22;
CTZ;4220;6;;24;
CUA;5249;12;;30;
CUB;5002;13;;31;399
CUC;6341;2;;20;
CUC;7700;16;;34;
CUD;2608;5;;23;
CUD;2608;12;;30;
CUE;6234;5;;23;
CUF;6903;3;;21;
CUG;4445;9;;27;
CUH;2500;11;;29;
CUH;2700;8;;26;
CUH;2860;2;;20;
CUH;5201;18;;36;
CUL;7546;2;;20;886
CUM;10171;8;;26;
CUN;9186;12L;;30R;
CUN;11483;12R;;30L;
CUP;6611;17;;35;
CUQ;4107;11;;29;
CUR;11188;11;2723;29;
CUT;4052;3;;21;
CUT;5558;7;;25;
CUU;3609;4;;22;
CUU;7885;18R;;36L;
CUU;8530;18L;;36R;
CUV;3450;10;;28;
CUY;3270;11;;29;
CUY;6499;4;;22;
CUZ;11146;10;;28;
CVC;2936;18;;36;
CVC;4429;8;;26;
CVE;4396;5;175;23;190
CVG;8000;18R;;36L;
CVG;10000;18L;;36R;
CVG;11000;18C;;36C;
CVG;12000;9;;27;
CVJ;9439;2;;20;260
CVM;7218;15;;33;
CVN;5697;12;;30;
CVN;6200;4;799;22;
CVO;3335;9;;27;190
CVO;5900;17;;35;
CVQ;3740;18;;36;
CVQ;5509;4;;22;122
CVS;8200;13;;31;
CVS;10000;4;;22;
CVT;5988;5;;23;420
CWA;6501;17;;35;
CWA;7645;8;;26;
CWB;5906;11;;29;
CWB;7267;15;;33;
CWC;7270;15;;33;
CWE;9125;10;;28;
CWE;9757;16;;34;
CWF;10701;15;;33;
CWI;3700;14;170;32;
CWI;5204;3;;21;
CWL;7848;12;797;30;551
CWR;4265;17;;35;
CWT;3825;3;;21;
CWT;5348;15;;33;
CWW;5000;14;;32;148
CWW;5994;5;;23;
CWX;6095;3;;21;
CXA;4920;11;;29;
CXB;6790;17;;35;
CXC;2850;13;;31;
CXF;4000;1;;19;
CXI;6900;8;;26;
CXJ;5479;15;;33;
CXL;4679;8;;26;163
CXM;5906;XX;;XX;
CXN;3610;4;;22;
CXO;3974;1;;19;
CXO;6000;14;591;32;
CXP;4570;13;;31;
CXQ;3608;13;;31;
CXR;10000;2;;20;
CXT;3297;1;;19;
CXT;5699;6;;24;
CYA;3220;8;260;26;285
CYB;6000;9;;27;
CYF;2500;16;;34;
CYG;4596;6;256;24;288
CYI;5307;18L;;36R;
CYI;10007;18R;200;36L;200
CYO;9869;12;;30;
CYP;4843;17;;35;
CYR;4495;12;;30;
CYS;6691;13;1060;31;1160
CYS;9267;9;610;27;675
CYT;4350;8;;26;
CYW;6284;8;;26;
CYZ;6890;12;1110;30;1180
CZA;9186;10;;28;
CZB;2625;4;;22;
CZE;6761;9;;27;
CZF;3990;2;;20;
CZL;7874;14;;32;
CZL;9843;16;;34;
CZM;8858;11;656;29;
CZN;3000;12;;30;
CZS;7874;10;;28;
CZT;4997;13;;31;
CZU;4930;2;;20;227
CZW;6562;8;;26;
CZY;3297;6;;24;
DAA;5618;14;687;32;891
DAB;3195;07R;;25L;
DAB;6001;16;;34;
DAB;10500;07L;690;25R;
DAC;10500;14;;32;
DAD;10000;17L;;35R;
DAD;10000;17R;;35L;
DAG;5119;4;;22;
DAG;6400;8;;26;
DAK;8166;15;;33;
DAL;6147;18;;36;
DAL;7752;13L;;31R;
DAL;8800;13R;490;31L;
DAM;11811;05R;;23L;
DAN;4020;13;;31;
DAN;6500;2;;20;900
DAR;3280;14;;32;
DAR;9843;5;;23;
DAU;4593;14;;32;
DAV;6890;4;;22;
DAY;7001;06R;;24L;
DAY;8502;18;;36;
DAY;10900;06L;;24R;
DBB;11479;13;;31;
DBD;3728;7;;25;
DBN;5004;14;591;32;
DBN;6002;2;;20;
DBO;3501;11;;29;
DBO;5604;5;;23;
DBP;2585;12;;30;
DBQ;6327;18;;36;
DBQ;6502;13;;31;
DBS;4600;16;;34;
DBV;10827;12;488;30;
DBY;2999;4;;22;
DBY;4160;13;;31;
DCA;4911;4;;22;
DCA;5204;15;;33;
DCA;6869;1;;19;
DCF;3130;1;475;19;
DCI;8565;17R;;35L;
DCI;9810;17L;494;35R;495
DCK;4780;8;;26;
DCM;5988;14;509;32;
DCN;10003;11;;29;
DCT;3800;13;;31;
DCU;6107;18;;36;
DDC;4649;2;;20;
DDC;6899;14;;32;570
DDN;3215;9;;27;
DEA;6499;18;;36;
DEB;8196;05R;;23L;979
DEC;5299;18;;36;
DEC;6799;12;;30;
DEC;8496;6;;24;
DED;3755;8;350;26;500
DEF;11729;14L;;32R;
DEF;12641;14R;;32L;950
DEH;4001;11;;29;
DEL;9229;9;;27;499
DEL;12500;10;;28;
DEL;14534;11;2100;29;4790
DEN;12000;7;;25;
DEN;12000;8;;26;
DEN;12000;16L;;34R;
DEN;12000;17L;;35R;
DEN;12000;17R;;35L;
DEN;16000;16R;;34L;
DES;4531;12;;30;
DET;4025;7;715;25;716
DET;5090;15;;33;
DEZ;9843;10L;;28R;
DFI;4197;12;;30;
DFP;3215;6;;24;
DFW;8500;17L;;35R;
DFW;9000;13L;625;31R;
DFW;9301;13R;;31L;
DFW;13400;18L;;36R;
DFW;13400;18R;;36L;
DFW;13401;17C;;35C;
DFW;13401;17R;;35L;
DGE;3527;16;;34;
DGE;5705;4;;22;
DGF;4600;8;;26;
DGL;4095;18;;36;
DGL;5760;3;;21;
DGN;4191;16;;34;
DGO;9514;3;;21;
DGT;6136;9;;27;
DGW;4760;5;;23;
DGW;6532;11;;29;
DGX;5988;8;;26;
DHA;11811;16L;;34R;
DHA;12008;16R;;34L;
DHD;2687;7;;25;
DHD;3031;1;;19;
DHF;12012;13L;;31R;
DHF;12012;13R;;31L;
DHI;5000;9;;27;
DHM;4620;15;;33;1480
DHN;5000;18;;36;
DHN;8498;14;;32;
DHR;4183;3;804;21;804
DHT;5669;3;;21;224
DHT;6400;17;;35;
DIB;6000;5;;23;600
DIE;4921;13;;31;
DIJ;5905;2;;20;
DIJ;7874;18;;36;
DIK;4700;7;;25;
DIK;6400;14;;32;
DIL;6065;8;201;26;
DIN;6003;16;;34;
DIQ;5052;16;;34;
DIR;8791;15;;33;
DIU;3555;13;;31;
DIU;5980;5;;23;
DIY;11644;16;;34;
DJB;6562;13;;31;402
DJE;10171;9;;27;
DJG;7874;2;;20;
DJG;9843;13;;31;
DJJ;7161;12;;30;
DJN;2500;7;;25;
DJO;6562;4;;22;
DJR;2598;15;;33;
DJR;3733;11;;29;
DKI;2673;14;;32;
DKK;4000;15;;33;
DKK;5000;6;;24;
DKR;4866;3;;21;
DKR;11450;18;525;36;
DKV;4406;9;;27;
DLA;9350;12;;30;
DLC;10827;10;650;28;320
DLD;3379;8;;26;
DLE;7318;5;;23;
DLF;6246;13R;;31L;
DLF;8311;13L;;31R;
DLF;8857;13C;;31C;
DLG;6400;1;;19;
DLH;5699;3;;21;
DLH;10152;9;;27;
DLK;3805;17;;35;
DLL;3000;7;;25;
DLM;9842;1;;19;
DLN;3599;4;;22;
DLN;6500;17;;35;
DLS;4647;7;440;25;196
DLS;5097;12;200;30;
DLV;2811;12;;30;
DLX;3270;2;;20;
DLX;10159;8;;26;
DLZ;7545;3;;21;
DMA;13643;12;;30;
DMB;9514;13;;31;722
DMD;5433;12;30;30;30
DME;11483;14R;;32L;
DME;12448;14L;;32R;
DMK;11483;03R;;21L;1148
DMK;12139;03L;;21R;
DMM;13124;16L;;34R;
DMM;13124;16R;;34L;
DMN;5675;4;;22;
DMN;6627;8;;26;
DMO;3520;5;;23;
DMO;5500;18;;36;
DMT;4856;17;;35;
DMU;7513;12;1180;30;
DNA;12100;05L;;23R;
DNA;12100;05R;;23L;
DNB;3313;9;;27;
DND;4593;9;;27;
DNG;3608;4;;22;
DNK;9320;9;;27;
DNL;3738;11;326;29;315
DNL;4002;5;500;23;288
DNN;5498;14;;32;
DNO;4167;10;;28;
DNP;2730;16;;34;
DNQ;3999;6;;24;
DNR;4708;12;;30;476
DNR;7218;17;;35;
DNS;5000;12;;30;
DNV;3999;16;;34;
DNV;6002;3;;21;400
DNZ;9842;6;;24;
DOB;2625;5;;23;
DOD;6700;10;;28;
DOG;9843;17;;35;
DOH;13944;16R;;34L;
DOH;15912;16L;;34R;
DOK;13123;8;;26;
DOL;8366;12;1476;30;1378
DOM;4777;9;174;27;
DOU;5282;5;;23;
DOV;9602;1;;19;
DOV;12903;14;4250;32;
DOX;3280;18;;36;
DPA;3401;15;;33;190
DPA;4751;10;;28;750
DPA;5100;02R;;20L;
DPA;7570;02L;;20R;
DPE;2690;13;;31;
DPG;7000;12;;30;
DPL;6273;2;98;20;
DPO;2887;14;;32;
DPO;6030;6;;24;
DPS;9790;9;;27;
DQH;5000;3;;21;
DRA;7515;2;;20;
DRB;3799;5;;23;
DRB;5696;11;;29;
DRD;4461;14;;32;
DRE;2500;18;;36;
DRE;4000;8;650;26;170
DRF;4100;5;;23;
DRG;2640;11;;29;
DRG;3300;2;;20;
DRI;4220;14;441;32;
DRI;5495;18;;36;
DRN;3993;1;;19;
DRO;9201;3;;21;
DRR;3116;17;;35;
DRS;8228;4;;22;
DRT;6300;13;300;31;
DRW;5000;18;;36;
DRW;11004;11;;29;
DRY;4589;5;;23;
DSA;9491;2;714;20;281
DSI;4999;14;;32;
DSK;5000;12;;30;
DSM;9001;13;;31;
DSM;9003;5;;23;
DSV;3365;14;;32;
DTA;5500;17;;35;
DTA;5935;12;1060;30;275
DTB;7875;9;750;27;
DTE;3773;6;;24;
DTI;5282;3;;21;
DTL;4500;13;;31;
DTM;6562;6;984;24;984
DTN;3200;5;230;23;
DTN;5018;14;;32;
DTR;2550;15;;33;
DTW;8500;09R;;27L;
DTW;8501;03L;;21R;
DTW;8708;09L;;27R;
DTW;10000;04L;;22R;
DTW;10001;03R;;21L;
DTW;12003;04R;;22L;
DUA;5001;17;;35;
DUB;6798;16;;34;
DUB;8652;10;;28;
DUC;6650;17;;35;
DUD;6234;3;;21;
DUE;6468;4;;22;
DUF;3450;17;;35;
DUG;5000;8;;26;
DUG;7311;17;;35;
DUJ;5504;7;;25;
DUK;4003;4;;22;
DUM;5905;3;;21;
DUR;12139;6;;24;
DUS;8858;05L;984;23R;984
DUS;9842;05R;984;23L;984
DUT;3900;12;100;30;101
DVL;4313;3;183;21;200
DVL;5509;13;;31;640
DVN;4001;3;;21;
DVN;5501;15;;33;
DVO;9842;5;;23;
DVP;2559;14;;32;
DVP;3297;3;;21;
DVR;3149;12;;30;
DVT;4500;07L;;25R;
DVT;8208;07R;897;25L;930
DWC;14764;12;;30;
DWH;2530;17W;;35W;
DWH;3987;17L;;35R;208
DWH;7009;17R;1007;35L;
DXB;13124;12L;1312;30R;
DXB;13124;12R;394;30L;2953
DXD;3182;7;;25;
DXE;4444;17;;35;200
DXR;3135;17;223;35;231
DXR;4422;8;368;26;734
DYA;5085;14;;32;
DYL;3004;5;;23;
DYR;11483;1;;19;
DYS;3500;161;;341;
DYS;3500;162;;342;
DYS;13500;16;;34;
DYU;10170;9;;27;1335
DYW;6233;14;;32;
DZA;6330;16;250;34;
DZN;8530;4;;22;
DZO;4764;9;;27;
DZO;7477;3;;21;
EAA;3600;6;;24;
EAB;8202;9;;27;
EAM;10007;6;;24;
EAN;5900;8;;26;
EAR;4498;13;;31;
EAR;7094;18;;36;
EAS;5755;4;;22;
EAT;4460;7;;25;
EAT;5700;12;;30;800
EAU;4999;14;;32;
EAU;8101;4;800;22;
EBA;3114;16;479;34;285
EBB;7900;12;;30;
EBB;12000;17;;35;
EBD;9843;1;;19;
EBG;4310;18;;36;
EBJ;8527;8;;26;
EBL;9197;15;;33;
EBM;8858;11;;29;
EBS;2655;5;;23;
EBS;4007;14;;32;
EBU;7546;18;984;36;558
ECG;4518;1;299;19;
ECG;7219;10;;28;
ECH;3615;17;;35;
ECI;5003;3;;21;
ECN;9039;11;;29;
ECP;10000;16;;34;
ECS;2666;17;600;35;
ECS;5300;13;500;31;
ECV;2698;09L;;27R;
ECV;4921;9;;27;
EDB;4595;18;;36;
EDD;3772;9;;27;
EDE;6000;1;;19;
EDF;7500;16;;34;
EDF;10000;6;;24;
EDI;5730;12;;30;204
EDI;8400;6;700;24;700
EDK;4200;15;;33;
EDK;4205;4;;22;
EDL;11480;8;;26;
EDM;5085;10;;28;951
EDO;9842;5;;23;
EDR;4462;14;;32;
EDW;8000;6;;24;
EDW;12000;04L;;22R;
