id;type_aero;nom;latitude_deg;longitude_deg;elevation_ft;code_continent;code_pays;municipalite;code_icao;fuseau
MJX;small_airport;Ocean County Airport;39.92750168;-74.29239655;82;NA;US;Toms River;KMJX;America/New_York
MJZ;medium_airport;Mirny Airport;62.534698486328125;114.03900146484375;1156;AS;RU;Mirny;UERR;Asia/Yakutsk
MKA;small_airport;Mariánské Lázně Airport;49.922798156738;12.72469997406;1772;EU;CZ;Mariánské Lázně;LKMR;Europe/Prague
MKB;small_airport;Mekambo Airport;1.0169999599456787;13.932999610900879;1686;AF;GA;Mekambo;FOOE;Africa/Libreville
MKC;medium_airport;Charles B. Wheeler Downtown Airport;39.123199462890625;-94.5927963256836;759;NA;US;Kansas City;KMKC;America/Chicago
MKE;large_airport;General Mitchell International Airport;42.947200775146484;-87.89659881591797;723;NA;US;Milwaukee;KMKE;America/Chicago
MKG;small_airport;Muskegon County Airport;43.16949844;-86.23819733;629;NA;US;Muskegon;KMKG;America/Detroit
MKH;small_airport;Mokhotlong Airport;-29.28179931640625;29.072799682617188;7200;AF;LS;Mokhotlong;FXMK;Africa/Maseru
MKI;small_airport;M'Boki Airport;5.33301019669;25.931900024399997;1969;AF;CF;Mboki;FEGE;Africa/Bangui
MKJ;small_airport;Makoua Airport;-0.017000000923871994;15.583000183105469;1293;AF;CG;Makoua;FCOM;Africa/Brazzaville
MKK;medium_airport;Molokai Airport;21.15290069580078;-157.0959930419922;454;NA;US;Kaunakakai;PHMK;Pacific/Honolulu
MKL;medium_airport;Mc Kellar Sipes Regional Airport;35.59989929;-88.91560364;434;NA;US;Jackson;KMKL;America/Chicago
MKM;small_airport;Mukah Airport;2.9063899517059326;112.08000183105469;13;AS;MY;Mukah;WBGK;Asia/Kuching
MKN;small_airport;Malekolon Airport;-4.02343055556;153.657277778;5;OC;PG;Babase Island;AYMV;Pacific/Port_Moresby
MKP;medium_airport;Makemo Airport;-16.583900451660156;-143.6580047607422;3;OC;PF;;NTGM;Pacific/Tahiti
MKQ;medium_airport;Mopah Airport;-8.52029037475586;140.41799926757812;10;AS;ID;Merauke-Papua Island;WAKK;Asia/Jayapura
MKR;medium_airport;Meekatharra Airport;-26.6117000579834;118.5479965209961;1713;OC;AU;;YMEK;Australia/Perth
MKS;small_airport;Mekane Selam Airport;10.7254;38.7415;8405;AF;ET;Mekane Selam;HAMA;Africa/Addis_Ababa
MKU;medium_airport;Makokou Airport;0.5792109966278076;12.890899658203125;1726;AF;GA;Makokou;FOOK;Africa/Libreville
MKV;small_airport;Mount Cavenagh Airport;-25.9666996002;133.199996948;;OC;AU;;YMVG;Australia/Darwin
MKW;medium_airport;Rendani Airport;-0.8918330073356628;134.0489959716797;23;AS;ID;Manokwari-Papua Island;WASR;Asia/Jayapura
MKY;medium_airport;Mackay Airport;-21.171699523900003;149.179992676;19;OC;AU;Mackay;YBMK;Australia/Brisbane
MKZ;medium_airport;Malacca Airport;2.2633600235;102.251998901;35;AS;MY;Malacca;WMKM;Asia/Kuala_Lumpur
MLA;large_airport;Malta International Airport;35.857498;14.4775;300;EU;MT;Luqa;LMML;Europe/Malta
MLB;medium_airport;Melbourne International Airport;28.102800369262695;-80.64530181884766;33;NA;US;Melbourne;KMLB;America/New_York
MLE;large_airport;Malé International Airport;4.191830158233643;73.52909851074219;6;AS;MV;Malé;VRMM;Indian/Maldives
